name,word,word_count
2025_ufc_inova_8,e-mail,1550
2025_ufc_inova_8,vitae,1550
2025_ufc_inova_8,curriculum,1550
2025_ufc_inova_8,code,1550
2021_ufc_inova_3,internet,4251
2021_ufc_inova_3,designer,4251
2021_ufc_inova_3,accountability,4251
2021_ufc_inova_3,e-mail,4251
2021_ufc_inova_3,pitch,4251
2025_ufc_inova_4,link,6270
2025_ufc_inova_4,checkpoint,6270
2025_ufc_inova_4,eMail,6270
2025_ufc_inova_4,data,6270
2025_ufc_inova_4,e-mail,6270
2025_ufc_inova_4,email,6270
2025_ufc_inova_4,learning,6270
2025_ufc_inova_4,pitche,6270
2025_ufc_inova_4,machine,6270
2025_ufc_inova_4,startup,6270
2025_ufc_inova_4,reviews,6270
2025_ufc_inova_4,pitch,6270
2025_ufc_inova_4,spin-offs,6270
2025_ufc_inova_4,WhatsApp,6270
2025_ufc_inova_4,inovaDor/startup/spin-off,6270
2025_ufc_inova_4,sprint,6270
2022_ufc_inova_1,startUp,6474
2022_ufc_inova_1,machine,6474
2022_ufc_inova_1,anjO/pré-seed,6474
2022_ufc_inova_1,negócIos/startups/spin-off,6474
2022_ufc_inova_1,exit,6474
2022_ufc_inova_1,demoday,6474
2022_ufc_inova_1,checkpoint,6474
2022_ufc_inova_1,email,6474
2022_ufc_inova_1,acadêmicas,6474
2022_ufc_inova_1,seed,6474
2022_ufc_inova_1,WhatsApp,6474
2022_ufc_inova_1,spin-offs,6474
2022_ufc_inova_1,link,6474
2022_ufc_inova_1,data,6474
2022_ufc_inova_1,demolation,6474
2022_ufc_inova_1,pitch,6474
2022_ufc_inova_1,startup,6474
2022_ufc_inova_1,roadmap,6474
2022_ufc_inova_1,hub,6474
2022_ufc_inova_1,spin-Off,6474
2022_ufc_inova_1,eMail,6474
2022_ufc_inova_1,squad,6474
2022_ufc_inova_1,learning,6474
2025_ufc_inova_1,checklist,5109
2025_ufc_inova_1,e-mail,5109
2025_ufc_inova_1,email,5109
2025_ufc_inova_1,pdf,5109
2025_ufc_inova_1,pitches,5109
2025_ufc_inova_1,pitch,5109
2025_ufc_inova_1,vitae,5109
2025_ufc_inova_1,pags,5109
2023_ufc_inova_1,startUp,6729
2023_ufc_inova_1,machine,6729
2023_ufc_inova_1,anjO/pré-seed,6729
2023_ufc_inova_1,negócIos/startups/spin-off,6729
2023_ufc_inova_1,exit,6729
2023_ufc_inova_1,demoday,6729
2023_ufc_inova_1,checkpoint,6729
2023_ufc_inova_1,email,6729
2023_ufc_inova_1,acadêmicas,6729
2023_ufc_inova_1,reviews,6729
2023_ufc_inova_1,spin-offs,6729
2023_ufc_inova_1,WhatsApp,6729
2023_ufc_inova_1,seed,6729
2023_ufc_inova_1,link,6729
2023_ufc_inova_1,data,6729
2023_ufc_inova_1,demolation,6729
2023_ufc_inova_1,pitch,6729
2023_ufc_inova_1,startup,6729
2023_ufc_inova_1,roadmap,6729
2023_ufc_inova_1,hub,6729
2023_ufc_inova_1,spin-Off,6729
2023_ufc_inova_1,eMail,6729
2023_ufc_inova_1,squad,6729
2023_ufc_inova_1,learning,6729
2023_ufc_inova_1,sprint,6729
2021_ufc_inova_1,startUp,7940
2021_ufc_inova_1,machine,7940
2021_ufc_inova_1,negócIos/startups/spin-off,7940
2021_ufc_inova_1,checkpoint,7940
2021_ufc_inova_1,empreendedorismo@ufc.br\]\(mailto:\)](mailto,7940
2021_ufc_inova_1,email,7940
2021_ufc_inova_1,acadêmicas,7940
2021_ufc_inova_1,spin-off,7940
2021_ufc_inova_1,spin-offs,7940
2021_ufc_inova_1,demolition,7940
2021_ufc_inova_1,data,7940
2021_ufc_inova_1,pitch,7940
2021_ufc_inova_1,startup,7940
2021_ufc_inova_1,roadmap,7940
2021_ufc_inova_1,hub,7940
2021_ufc_inova_1,spin-Off,7940
2021_ufc_inova_1,eMail,7940
2021_ufc_inova_1,squad,7940
2021_ufc_inova_1,learning,7940
2021_ufc_inova_2,pdf,3018
2022_ufc_inova_1_simplificado,representr,739
2022_ufc_inova_1_simplificado,value,739
2022_ufc_inova_1_simplificado,number,739
2022_ufc_inova_1_simplificado,a,739
2022_ufc_inova_1_simplificado,scholarship,739
2022_ufc_inova_1_simplificado,of,739
2022_ufc_inova_1_simplificado,the,739
2022_ufc_inova_1_simplificado,icon,739
2025_ufc_inova_4_simplificado,e-mail,2116
2025_ufc_inova_4_simplificado,coworking,2116
2025_ufc_inova_4_simplificado,on-line,2116
2025_ufc_inova_4_simplificado,spin-oFf,2116
2025_ufc_inova_4_simplificado,startup,2116
2025_ufc_inova_1_simplificado,checklist,860
2023_ufc_inova_1_simplificado,link,937
2023_ufc_inova_1_simplificado,pitch,937
2021_ufc_inova_3_simplificado,internet,822
2021_ufc_inova_3_simplificado,e-mail,822
2021_ufc_inova_1_simplificado,e-mail,751
2021_ufc_inova_1_simplificado,relatório/pitch,751
2021_ufc_inova_2_simplificado,e-mail,457
